Unique Code,State,Year,Population,Total Internet Subscriptions,Total Broadband Subscriptions,Total Wireless internet Subscriptions,Cases Reported,high_alert_volume
17,Uttar Pradesh,2017,224558257,28580000.0,15080000.0,28090000.0,4971,0
17,Uttar Pradesh,2018,223897418,34750000.0,26210000.0,34260000.0,6280,0
17,Uttar Pradesh,2019,233378519,44970000.0,37650000.0,44460000.0,11416,0
17,Uttar Pradesh,2020,237882725,54590000.0,49470000.0,54080000.0,11097,0
18,Uttarakhand,2014,9983002,10190000.0,1890000.0,9690000.0,42,0
18,Uttarakhand,2015,10700897,14080000.0,3460000.0,13580000.0,48,0
18,Uttarakhand,2016,10814351,16540000.0,5340000.0,16010000.000000002,62,0
18,Uttarakhand,2017,10956753,19930000.0,11410000.0,19390000.0,124,0
18,Uttarakhand,2018,11453488,23790000.0,19570000.0,23250000.0,171,0
18,Uttarakhand,2019,11140566,32060000.000000004,27720000.0,31540000.0,100,0
18,Uttarakhand,2020,11250858,37800000.0,34910000.0,37270000.0,243,0
19,West Bengal,2014,95420018,8820000.0,1530000.0,8600000.0,355,0
19,West Bengal,2015,96622186,11290000.0,2710000.0,11010000.0,398,0
19,West Bengal,2016,96712471,13380000.0,5720000.0,13080000.0,478,0
19,West Bengal,2017,96775592,16579999.999999998,10900000.0,16290000.0,568,0
19,West Bengal,2018,98785114,19310000.0,15720000.0,19040000.0,335,0
19,West Bengal,2019,98662146,26830000.0,23020000.0,26550000.0,524,0
19,West Bengal,2020,99609303,33000000.0,30050000.0,32710000.0,712,0
20,Delhi,2014,16983308,15730000.0,6430000.0,14600000.0,226,0
20,Delhi,2015,17720573,18490000.0,9090000.0,17280000.0,177,0
20,Delhi,2016,17913019,20590000.0,11970000.0,19150000.0,98,0
20,Delhi,2017,18110349,26790000.0,20800000.0,25100000.0,162,0
20,Delhi,2018,18256091,31140000.0,27350000.0,29380000.0,189,0
20,Delhi,2019,18498192,35860000.0,33090000.000000004,34020000.0,115,0
20,Delhi,2020,18710922,40990000.0,37910000.0,38890000.0,168,0
